OBJECTID,Population,Location,GPS_lat,GPS_lon,Plant_date,Harvest_da,RASTERVALU
1,P1-T1,AT2,40.185800000000000,-86.077699999999993,5/5/2015 0:00:00,9/10/2015 0:00:00,4896
2,P1-T1,MO,40.915219000000000,-90.719044999999994,5/18/2015 0:00:00,9/10/2015 0:00:00,4747
3,P1-T1,EP,40.770246999999998,-88.984181000000007,5/2/2015 0:00:00,9/10/2015 0:00:00,4733
4,P2-T2,MO,40.915219000000000,-90.719044999999994,5/18/2015 0:00:00,9/10/2015 0:00:00,4747
5,P2-T2,BL,40.602947999999998,-88.795866000000004,5/19/2015 0:00:00,9/10/2015 0:00:00,4733
6,P2-T3,MO,40.915219000000000,-90.719044999999994,5/18/2015 0:00:00,9/10/2015 0:00:00,4747
7,P2-T3,BL,40.602947999999998,-88.795866000000004,5/19/2015 0:00:00,9/10/2015 0:00:00,4733
8,P1-T4,AT2,40.185800000000000,-86.077699999999993,5/5/2015 0:00:00,9/10/2015 0:00:00,4896
9,P1-T4,MO,40.915219000000000,-90.719044999999994,5/18/2015 0:00:00,9/10/2015 0:00:00,4747
10,P1-T4,EP,40.770246999999998,-88.984181000000007,5/2/2015 0:00:00,9/10/2015 0:00:00,4733
11,P1-T5,CP,39.934534999999997,-87.907621000000006,5/7/2015 0:00:00,9/10/2015 0:00:00,4733
12,P1-T5,JV,39.725399000000003,-90.035054000000002,4/29/2015 0:00:00,9/10/2015 0:00:00,4733
13,P3-T2,JV,39.725399000000003,-90.035054000000002,4/29/2015 0:00:00,9/10/2015 0:00:00,4733
14,P3-T2,HV,39.378583999999996,-89.517725999999996,5/15/2015 0:00:00,9/10/2015 0:00:00,4733
15,P3-T3,JV,39.725399000000003,-90.035054000000002,4/29/2015 0:00:00,9/10/2015 0:00:00,4733
16,P3-T3,HV,39.378583999999996,-89.517725999999996,5/15/2015 0:00:00,9/10/2015 0:00:00,4733
17,P1-T1,EK,40.049188389999998,-89.451889789999996,4/25/2016 0:00:00,9/10/2016 0:00:00,4733
18,P1-T1,ON,40.646740000000001,-87.946937000000005,4/25/2016 0:00:00,9/10/2016 0:00:00,4733
19,P1-T1,AT2,40.185800000000000,-86.077699999999993,5/1/2016 0:00:00,9/10/2016 0:00:00,4896
20,P2-T2,ON,40.646740000000001,-87.946937000000005,4/25/2016 0:00:00,9/10/2016 0:00:00,4733
21,P2-T2,MB,40.544979470000001,-90.791056740000002,5/6/2016 0:00:00,9/10/2016 0:00:00,4733
22,P2-T2,MO2,41.014266999999997,-90.786585000000002,5/5/2016 0:00:00,9/10/2016 0:00:00,4747
23,P2-T3,ON,40.646740000000001,-87.946937000000005,4/25/2016 0:00:00,9/10/2016 0:00:00,4733
24,P1-T4,MB,40.544979470000001,-90.791056740000002,5/6/2016 0:00:00,9/10/2016 0:00:00,4733
25,P1-T5,EK,40.049188389999998,-89.451889789999996,4/25/2016 0:00:00,9/10/2016 0:00:00,4733
26,P1-T5,ON,40.646740000000001,-87.946937000000005,4/25/2016 0:00:00,9/10/2016 0:00:00,4733
27,P3-T2,ON,40.646740000000001,-87.946937000000005,4/25/2016 0:00:00,9/10/2016 0:00:00,4733
28,P3-T3,MB,40.544979470000001,-90.791056740000002,5/6/2016 0:00:00,9/10/2016 0:00:00,4733
